ID,PAV_Max,PAV_Mean,PAV_PctMissing,SyntenyPC,SyntenyScore,Exon_number,X3pUTR_length,X5pUTR_length,CDS_length,Content.GC,CAI,Max_dSNAF,Makes_Protein,TotalSNPs,SNP_density,Average_FPKM,Max_FPKM,RNA.breadth
Zm00001d000001,0,0,0,-1.8211501228,0,2,126,252,1842,0.61,0.883021720967669,41777.97884,1,0,0,112.839862360584,3015.2,232
Zm00001d000002,0,0,0,-1.8211501228,0,16,313,523,5036,0.4,0.650437929984574,1568.197336,1,0,0,12.891902919708,108.82,177
Zm00001d000004,0,0,0,-1.8211501228,0,4,132,263,293,0.53,0.78626368892567,0,0,0,0,19.9146627007299,81.0485,274
Zm00001d000005,0,0,0,-1.8211501228,0,4,113,300,2071,0.51,0.717555342702843,14.46887347,1,0,0,6.28133944671533,37.8924,190
Zm00001d000006,0,0,0,-1.8211501228,0,2,92,192,678,0.46,0.795267776287491,717.3207359,1,0,0,10.5255230270073,382.81,50
Zm00001d000009,0,0,0,-1.8211501228,0,15,129,197,979,0.42,0.638354622896908,104.3118971,1,0,0,3.56262058540146,33.3755,52
Zm00001d000016,0,0,0,-1.8211501228,0,1,0,0,747,0.67,0.842160966545226,0,0,0,0,0.49923975729927,11.9175,33
Zm00001d000017,0,0,0,-1.8211501228,0,2,22,166,682,0.43,0.738451328807642,49.27026089,1,0,0,0.979143199270073,35.7507,44
Zm00001d000020,0,0,0,-1.8211501228,0,1,0,0,909,0.71,0.876679969162901,0,0,0,0,10.2334617408759,226.724,88
Zm00001d000021,0,0,0,-1.8211501228,0,6,76,276,1184,0.43,0.726678199913603,705.383262,1,0,0,151.095496350365,655.561,274
Zm00001d000023,0,0,0,-1.8211501228,0,6,115,2982,2897,0.43,0.648102132969862,22.44144083,1,0,0,3.61493490875912,9.11794,273
Zm00001d000025,0,0,0,-1.8211501228,0,1,0,0,330,0.7,0.857309327078244,0,0,0,0,0,0,0
Zm00001d000027,0,0,0,-1.8211501228,0,18,0,0,3168,0.44,0.708664157088682,0,0,0,0,2.53705130291971,10.1014,224
Zm00001d000028,0,0,0,-1.8211501228,0,1,0,0,1548,0.68,0.836492580179531,8.012511461,1,0,0,3.31331023759124,13.3176,197
Zm00001d000030,0,0,0,-1.8211501228,0,6,161,296,1325,0.43,0.657174875309321,2218.934781,1,0,0,25.8334497080292,65.468,274
Zm00001d000032,0,0,0,-1.8211501228,0,1,0,0,357,0.64,0.83505223720209,0,0,0,0,0.123634131386861,2.44158,13
Zm00001d000034,0,0,0,-1.8211501228,0,15,81,482,2992,0.42,0.663002573238021,24.58822725,1,0,0,3.58614412266423,13.6516,188
Zm00001d000035,0,0,0,-1.8211501228,0,7,131,419,836,0.42,0.639943309128875,75.87846879,1,0,0,2.73232734671533,5.78742,260
Zm00001d000037,0,0,0,-1.8211501228,0,1,0,0,1569,0.71,0.869516047972931,0,0,0,0,0.314778861313869,9.43331,28
Zm00001d000038,0,0,0,-1.8211501228,0,2,172,331,1965,0.53,0.874764582004638,17.42813154,1,0,0,1.70051979087591,9.24921,153
Zm00001d000039,0,0,0,-1.8211501228,0,4,0,337,2347,0.51,0.801441170998056,29.64444966,1,0,0,6.63713599343066,27.5306,223
Zm00001d000041,0,0,0,-1.8211501228,0,6,0,342,624,0.46,0.673869814380011,204.9037834,1,0,0,7.75855140875912,26.9757,273
Zm00001d000042,0,0,0,-1.8211501228,0,11,38,0,2613,0.49,0.693754539794382,0,0,0,0,4.13330677372263,10.0763,260
Zm00001d000044,0,0,0,-1.8211501228,0,3,0,0,696,0.61,0.81789189414944,0,0,0,0,0.001310377007299,0.279816,0
Zm00001d000045,0,0,0,-1.8211501228,0,1,0,0,957,0.69,0.847085617071703,54.35438327,1,0,0,12.9587512043796,70.8988,274
Zm00001d000046,0,0,0,-1.8211501228,0,6,647,0,529,0.45,0.736516796807969,99.26688859,1,0,0,21.3408479562044,80.2005,274
Zm00001d000052,0,0,0,-1.8211501228,0,5,121,1903,871,0.41,0.66493114467492,0,0,0,0,4.42048465693431,21.8687,259
Zm00001d000053,0,0,0,-1.8211501228,0,3,167,415,1365,0.47,0.800773112573218,0,0,0,0,10.3544450729927,20.2676,274
Zm00001d000055,0,0,0,-1.8211501228,0,1,0,0,3357,0.65,0.85787894537722,14.75772142,1,0,0,2.18445284525547,21.1323,78
Zm00001d000058,0,0,0,-1.8211501228,0,4,111,0,261,0.42,0.740858899990566,0,0,0,0,0,0,0
Zm00001d000060,0,0,0,-1.8211501228,0,3,113,149,1076,0.57,0.838992097152058,1217.177406,1,0,0,12.0860185843066,185.482,99
Zm00001d000061,0,0,0,-1.8211501228,0,3,49,225,1055,0.57,0.835111074646612,0,0,0,0,0.930597576642336,54.7366,22
Zm00001d000065,0,0,0,-1.8211501228,0,2,0,8,568,0.61,0.755280465345026,0,0,0,0,0.855056748175183,4.69957,94
Zm00001d000066,0,0,0,-1.8211501228,0,7,114,0,733,0.43,0.729194467445025,0,0,0,0,0.003476308394161,0.121167,0
Zm00001d000070,0,0,0,-1.8211501228,0,4,49,186,437,0.41,0.819948765389635,0,0,0,0,12.2892958941606,160.558,109
Zm00001d000071,0,0,0,-1.8211501228,0,5,99,105,1741,0.42,0.774468103154738,0,0,0,0,8.83541091167883,95.6261,145
Zm00001d000085,0,0,0,-1.8211501228,0,8,77,441,1538,0.46,0.722797391147408,0,0,0,0,2.63807849635036,8.71262,217
Zm00001d000087,0,0,0,-1.8211501228,0,2,0,111,3273,0.43,0.679919311687457,0,0,0,0,0.22867423540146,0.748939,0
Zm00001d000092,0,0,0,-1.8211501228,0,1,0,0,678,0.74,0.84393785551616,0,0,0,0,0.10025165,2.34482,8
Zm00001d000093,0,0,0,-1.8211501228,0,1,0,0,1590,0.44,0.650940651016739,0,0,0,0,0.322935108759124,1.24731,3
Zm00001d000094,0,0,0,-1.8211501228,0,11,275,429,836,0.42,0.689376345432059,0,0,0,0,0.008297951058394,0.132999,0
Zm00001d000097,0,0,0,-1.8211501228,0,5,90,0,365,0.41,0.619721321905874,0,0,0,0,0,0,0
Zm00001d000098,0,0,0,-1.8211501228,0,9,213,664,1346,0.51,0.65563275636888,466.9856422,1,0,0,3.96046361313869,35.3406,254
Zm00001d000099,0,0,0,-1.8211501228,0,10,312,428,1270,0.4,0.679866758969532,145.7409865,1,0,0,7.35354866788321,19.1139,256
Zm00001d000102,0,0,0,-1.8211501228,0,1,0,0,1065,0.49,0.691925620866253,257.1051624,1,0,0,11.339637810219,26.285,274
Zm00001d000104,0,0,0,-1.8211501228,0,3,0,0,339,0.46,0.666607658570773,0,0,0,0,0.046521275547445,1.33957,1
Zm00001d000107,0,0,0,-1.8211501228,0,10,95,146,1499,0.49,0.794263020975079,59.95543672,1,0,0,22.119742500365,191.234,136
Zm00001d000110,0,0,0,-1.8211501228,0,9,100,314,2358,0.44,0.700821217178426,58.21753552,1,0,0,12.4912540510949,31.6543,274
Zm00001d000112,0,0,0,-1.8211501228,0,3,130,704,1080,0.59,0.888878676954321,0,0,0,0,31.2371959744526,159.919,263
Zm00001d000116,0,0,0,-1.8211501228,0,10,44,220,1436,0.47,0.749046001114552,666.9515638,1,0,0,53.5262408394161,128.282,274
Zm00001d000122,0,0,0,-1.8211501228,0,12,32,412,3036,0.42,0.677824274379082,0,0,0,0,2.02305746569343,14.449,166
Zm00001d000123,0,0,0,-1.8211501228,0,7,156,200,918,0.44,0.690857823360932,1334.754512,1,0,0,35.9342740510949,263.327,274
Zm00001d000124,0,0,0,-1.8211501228,0,6,541,306,1565,0.42,0.631016437374279,4.768499341,1,0,0,14.5424262408759,53.3375,274
