Gene,PAVMax,PAVMean,PAVMin,PAVFreq
Zm00001d001763,1,0.999838709677419,0.99,0
Zm00001d001765,1,1,1,0
Zm00001d001766,1,0.99741935483871,0.89,0
Zm00001d001767,1,0.998064516129032,0.97,0
Zm00001d001769,1,0.996774193548387,0.97,0
Zm00001d001770,1,0.888064516129032,0.18,0.0645161290323
Zm00001d001771,1,0.982903225806452,0.7,0
Zm00001d001772,1,0.990483870967742,0.74,0
Zm00001d001773,1,0.993064516129032,0.82,0
Zm00001d001774,1,0.997741935483871,0.88,0
Zm00001d001775,1,0.876129032258064,0.04,0.112903225806
Zm00001d001776,1,0.996935483870968,0.86,0
Zm00001d001777,1,0.653870967741936,0,0.258064516129
Zm00001d001779,1,0.975322580645161,0.76,0
Zm00001d001780,1,0.994193548387097,0.93,0
Zm00001d001781,1,0.981935483870968,0.77,0
Zm00001d001784,1,0.989838709677419,0.88,0
Zm00001d001785,1,0.999838709677419,0.99,0
Zm00001d001786,1,0.992096774193548,0.92,0
Zm00001d001787,1,0.996129032258064,0.85,0
Zm00001d001788,1,0.999838709677419,0.99,0
Zm00001d001789,1,0.998870967741936,0.97,0
Zm00001d001790,1,0.987258064516129,0.77,0
Zm00001d001791,1,0.99,0.89,0
Zm00001d001792,1,0.660322580645161,0,0.338709677419
Zm00001d001793,1,0.715483870967742,0,0.274193548387
Zm00001d001796,1,0.416129032258064,0,0.596774193548
Zm00001d001797,1,0.991451612903226,0.75,0
Zm00001d001798,1,0.995161290322581,0.85,0
Zm00001d001799,1,0.993225806451613,0.85,0
Zm00001d001800,1,0.995645161290322,0.91,0
Zm00001d001802,1,0.981451612903226,0.45,0.0161290322581
Zm00001d001803,1,0.999838709677419,0.99,0
Zm00001d001804,1,0.980967741935484,0.73,0
Zm00001d001806,1,0.993548387096774,0.85,0
Zm00001d001807,1,0.995,0.84,0
Zm00001d001808,1,0.992741935483871,0.89,0
Zm00001d001809,1,0.988225806451613,0.79,0
Zm00001d001811,1,0.915806451612903,0.56,0
Zm00001d001812,1,0.97,0.67,0
Zm00001d001813,1,0.973709677419355,0.68,0
Zm00001d001814,1,0.967258064516129,0.77,0
Zm00001d001817,1,0.997903225806452,0.96,0
Zm00001d001818,1,0.970161290322581,0.54,0
Zm00001d001819,1,0.967096774193548,0.7,0
Zm00001d001820,1,0.998548387096774,0.92,0
Zm00001d001823,1,0.696774193548387,0.1,0.209677419355
Zm00001d001824,1,0.93,0.37,0.0161290322581
Zm00001d001825,1,0.988548387096774,0.78,0
Zm00001d001826,1,0.897741935483871,0.19,0.0483870967742
Zm00001d001827,1,0.973870967741935,0.83,0
Zm00001d001828,1,0.973387096774193,0.82,0
Zm00001d001829,1,0.986290322580645,0.65,0
Zm00001d001830,1,0.976290322580645,0.63,0
Zm00001d001831,1,0.961935483870968,0.75,0
Zm00001d001832,1,0.956774193548387,0.51,0
Zm00001d001833,1,0.738870967741936,0,0.209677419355
Zm00001d001834,1,0.88241935483871,0.58,0
Zm00001d001835,1,0.990645161290322,0.87,0
Zm00001d001836,1,0.952741935483871,0.58,0
Zm00001d001837,1,0.999354838709678,0.97,0
Zm00001d001838,1,0.997096774193548,0.89,0
Zm00001d001839,1,0.900483870967742,0.16,0.0967741935484
Zm00001d001840,1,0.543548387096774,0,0.403225806452
Zm00001d001841,1,0.728387096774194,0.25,0.338709677419
Zm00001d001842,1,0.998225806451613,0.97,0
Zm00001d001843,1,1,1,0
Zm00001d001844,1,0.999354838709678,0.98,0
Zm00001d001845,1,0.993225806451613,0.86,0
Zm00001d001846,1,0.996129032258064,0.92,0
Zm00001d001847,1,0.996129032258065,0.95,0
Zm00001d001848,1,0.999193548387097,0.98,0
Zm00001d001849,1,0.987903225806452,0.85,0
Zm00001d001850,1,0.694838709677419,0.27,0.129032258065
Zm00001d001851,1,0.328709677419355,0,0.693548387097
Zm00001d001852,1,0.872903225806452,0.12,0.0483870967742
Zm00001d001855,1,0.989032258064516,0.73,0
Zm00001d001856,1,0.959354838709677,0.59,0
Zm00001d001857,1,0.989516129032258,0.79,0
Zm00001d001858,1,0.974516129032258,0.58,0
Zm00001d001859,1,0.976612903225806,0.82,0
Zm00001d001860,1,0.983870967741936,0.71,0
Zm00001d001861,1,0.990161290322581,0.61,0
Zm00001d001862,1,0.977419354838709,0.64,0
Zm00001d001864,1,0.942258064516129,0.72,0
Zm00001d001865,1,0.852258064516129,0,0.112903225806
Zm00001d001866,1,0.983387096774194,0.8,0
Zm00001d001868,1,0.988387096774193,0.84,0
Zm00001d001869,1,0.969193548387097,0.75,0
Zm00001d001870,1,0.983548387096774,0.84,0
Zm00001d001871,1,0.658225806451613,0,0.290322580645
Zm00001d001872,1,0.286290322580645,0,0.709677419355
Zm00001d001873,0.86,0.293064516129032,0,0.741935483871
Zm00001d001875,1,0.243064516129032,0,0.790322580645
Zm00001d001876,0.99,0.292096774193548,0,0.709677419355
Zm00001d001877,1,0.97983870967742,0.65,0
Zm00001d001879,1,0.992903225806452,0.93,0
Zm00001d001880,1,1,1,0
Zm00001d001881,1,0.999677419354839,0.98,0
Zm00001d001882,1,0.991935483870967,0.9,0
Zm00001d001883,1,1,1,0
Zm00001d001884,1,0.99258064516129,0.92,0
Zm00001d001885,1,0.858387096774194,0.17,0.112903225806
Zm00001d001887,1,0.981129032258064,0.54,0
Zm00001d001894,1,0.99,0.76,0
Zm00001d001895,1,0.97483870967742,0.81,0
Zm00001d001896,1,0.98516129032258,0.78,0
Zm00001d001897,1,0.978548387096774,0.81,0
Zm00001d001898,1,0.980806451612903,0.75,0
Zm00001d001899,1,0.981129032258064,0.72,0
Zm00001d001900,1,0.967258064516129,0.63,0
Zm00001d001901,1,0.986774193548387,0.75,0
Zm00001d001902,1,0.989838709677419,0.8,0
Zm00001d001903,1,0.942741935483871,0.73,0
Zm00001d001904,1,0.798709677419355,0,0.0483870967742
Zm00001d001905,1,0.904032258064516,0.16,0.0806451612903
Zm00001d001906,1,0.952741935483871,0.62,0
Zm00001d001907,1,0.99258064516129,0.78,0
Zm00001d001908,1,0.947258064516129,0.61,0
Zm00001d001909,1,0.991774193548387,0.85,0
Zm00001d001910,1,0.873870967741935,0.43,0.0483870967742
Zm00001d001911,1,0.944032258064516,0.13,0.0161290322581
Zm00001d001912,1,0.972258064516129,0.12,0.0161290322581
Zm00001d001913,1,0.984516129032258,0.71,0
Zm00001d001914,1,0.988709677419355,0.86,0
Zm00001d001915,1,0.96241935483871,0.5,0
Zm00001d001916,1,0.915161290322581,0,0.0806451612903
Zm00001d001917,0.78,0.473870967741936,0.06,0.467741935484
Zm00001d001918,1,0.615967741935484,0,0.387096774194
Zm00001d001920,0.94,0.458870967741935,0.01,0.548387096774
Zm00001d001921,0.78,0.326290322580645,0,0.790322580645
Zm00001d001922,1,0.972741935483871,0.34,0.0161290322581
Zm00001d001923,0.54,0.261129032258064,0.02,0.983870967742
Zm00001d001924,1,0.985806451612903,0.78,0
Zm00001d001926,1,0.689677419354839,0,0.306451612903
Zm00001d001927,1,0.928709677419355,0.23,0.0645161290323
Zm00001d001928,1,0.993064516129032,0.92,0
Zm00001d001929,1,0.759516129032258,0.4,0.129032258065
Zm00001d001930,1,0.38758064516129,0,0.693548387097
Zm00001d001931,1,0.98516129032258,0.63,0
Zm00001d001932,1,0.993870967741936,0.84,0
Zm00001d001933,1,0.999193548387097,0.95,0
Zm00001d001934,1,0.98258064516129,0.59,0
Zm00001d001935,0.97,0.739838709677419,0.35,0.0967741935484
Zm00001d001936,1,0.919677419354839,0.41,0.0161290322581
Zm00001d001937,1,0.975645161290323,0.76,0
Zm00001d001939,1,0.992741935483871,0.88,0
Zm00001d001940,1,0.971129032258064,0.46,0.0322580645161
Zm00001d001941,1,0.976774193548387,0.79,0
Zm00001d001942,1,0.302903225806452,0,0.677419354839
Zm00001d001943,1,0.970161290322581,0.64,0
Zm00001d001944,1,0.925483870967742,0,0.0645161290323
Zm00001d001945,1,0.987903225806452,0.89,0
Zm00001d001946,1,1,1,0
Zm00001d001947,1,0.994354838709678,0.9,0
Zm00001d001948,1,0.969838709677419,0.6,0
Zm00001d001949,1,0.996935483870968,0.86,0
Zm00001d001951,1,1,1,0
Zm00001d001952,1,0.996935483870968,0.87,0
Zm00001d001953,1,0.986935483870968,0.84,0
Zm00001d001957,1,0.367903225806452,0,0.645161290323
Zm00001d001959,1,0.998225806451613,0.97,0
Zm00001d001960,1,0.990483870967742,0.84,0
Zm00001d001961,1,0.920645161290322,0.27,0.0322580645161
Zm00001d001962,1,0.991290322580645,0.9,0
Zm00001d001963,1,0.781612903225806,0,0.145161290323
Zm00001d001964,1,0.988870967741935,0.81,0
Zm00001d001965,1,0.972741935483871,0.14,0.0161290322581
Zm00001d001966,1,0.990967741935484,0.82,0
Zm00001d001967,1,0.998709677419355,0.94,0
Zm00001d001968,1,0.961774193548387,0.75,0
Zm00001d001970,1,0.872258064516129,0,0.0806451612903
Zm00001d001971,1,0.560483870967742,0,0.41935483871
Zm00001d001972,1,1,1,0
Zm00001d001973,1,0.947903225806452,0.48,0.0161290322581
Zm00001d001974,1,0.985806451612903,0.8,0
Zm00001d001975,1,0.561451612903226,0,0.467741935484
Zm00001d001976,1,0.980806451612903,0.85,0
Zm00001d001977,1,0.993064516129032,0.85,0
Zm00001d001978,1,0.997741935483871,0.96,0
Zm00001d001979,1,0.993709677419355,0.91,0
Zm00001d001980,1,0.990806451612903,0.81,0
Zm00001d001982,1,0.976935483870968,0.41,0.0161290322581
Zm00001d001983,1,0.982258064516129,0.86,0
Zm00001d001984,1,0.905645161290323,0.54,0
Zm00001d001986,1,0.960322580645161,0,0.0322580645161
Zm00001d001987,1,0.943225806451613,0.41,0.0161290322581
Zm00001d001988,1,0.97483870967742,0.55,0
Zm00001d001989,1,0.962258064516129,0.42,0.0161290322581
Zm00001d001990,1,0.765967741935484,0,0.209677419355
Zm00001d001993,1,0.993709677419355,0.8,0
Zm00001d001994,1,0.957903225806452,0.66,0
Zm00001d001995,1,0.973064516129032,0.6,0
